2|12008|12|1998-02-28|6|37|552|1898.88|
2|12008|18|1998-02-28|6|37|463|1592.72|
2|12008|20|1998-02-28|6|37|2430|8359.2|
2|12008|25|1998-03-31|6|36|3387|12091.59|
2|12008|26|1998-01-31|6|37|2381|8190.64|
2|12008|28|1998-03-31|8|36|7304|26075.28|
2|12008|29|1998-01-31|6|37|541|1861.04|
2|12008|30|1998-03-31|6|37|363|1295.91|
2|12008|36|1998-01-31|6|37|448|1541.12|
2|12008|39|1998-03-31|6|36|5579|19917.03|
2|12008|41|1998-03-31|6|37|932|3327.24|
2|12008|47|1998-03-31|6|37|573|2045.61|
2|12008|58|1998-02-28|8|37|358|1231.52|
2|12008|62|1998-01-31|8|37|1423|4895.12|
2|12008|62|1998-03-31|8|37|1476|5269.32|
2|12008|64|1998-01-31|8|37|1273|4379.12|
2|12008|64|1998-03-31|8|37|1326|4733.82|
2|12008|65|1998-02-28|6|37|126|433.44|
2|12008|66|1998-03-31|8|36|5314|18970.98|
2|12008|83|1998-01-31|8|37|350|1204|
2|12008|84|1998-03-31|8|37|888|3170.16|
2|12008|86|1998-02-28|6|37|1164|4004.16|
2|12008|90|1998-02-28|6|37|175|602|
2|12008|92|1998-03-31|6|36|18372|65588.04|
2|12008|92|1998-03-31|8|36|10440|37270.8|
2|12008|107|1998-01-31|6|37|1141|3925.04|
2|12008|113|1998-02-28|6|37|913|3140.72|
2|12008|114|1998-01-31|6|37|171|588.24|
2|12008|117|1998-03-31|8|37|1220|4355.4|
2|12008|119|1998-01-31|6|37|123|423.12|
2|12008|120|1998-02-28|6|37|324|1114.56|
2|12008|126|1998-01-31|6|37|894|3075.36|
2|12008|129|1998-03-31|8|36|1032|3684.24|
2|12008|131|1998-03-31|6|36|2822|10074.54|
2|12008|132|1998-03-31|6|37|478|1706.46|
2|12008|134|1998-01-31|6|37|318|1093.92|
2|12008|134|1998-02-28|8|37|139|478.16|
2|12008|135|1998-02-28|6|37|426|1465.44|
2|12008|145|1998-02-28|8|37|1986|6831.84|
2|12008|145|1998-03-31|8|37|2006|7161.42|
2|12008|164|1998-01-31|8|37|136|467.84|
2|12008|179|1998-02-28|8|37|1228|4224.32|
2|12008|180|1998-03-31|6|36|3282|11716.74|
2|12008|183|1998-03-31|8|36|2126|7589.82|
2|12008|184|1998-02-28|6|37|568|1953.92|
2|12008|187|1998-03-31|8|37|176|628.32|
2|12008|192|1998-02-28|8|37|185|636.4|
2|12008|194|1998-03-31|6|37|322|1149.54|
2|12008|196|1998-01-31|6|37|413|1420.72|
2|12008|201|1998-01-31|8|37|1924|6618.56|
2|12008|201|1998-03-31|8|36|11832|42240.24|
2|12008|202|1998-02-28|8|37|605|2081.2|
2|12008|203|1998-02-28|8|37|172|591.68|
2|12008|216|1998-01-31|6|37|1394|4795.36|
2|12008|216|1998-02-28|6|37|1438|4946.72|
2|12008|216|1998-03-31|6|36|8563|30569.91|
2|12008|216|1998-03-31|6|37|1450|5176.5|
2|12008|222|1998-01-31|8|37|182|626.08|
